T        MC_cycles-ac             N_spins      accepted flips               <E>/N             <|M|>/N
1                 900                   4                   9   -1.98564593301435   0.994019138755981
1                 900                   4                   9   -1.98568019093079   0.994033412887828
1                 900                   4                   9   -1.98571428571429   0.994047619047619
1                 900                   4                   9   -1.98574821852732   0.994061757719715
1                 900                   4                   9   -1.98578199052133   0.994075829383886
1                 900                   4                   9   -1.98581560283688   0.994089834515366
1                 900                   4                   9   -1.98584905660377   0.994103773584906
1                 900                   4                   9   -1.98588235294118   0.994117647058824
1                 900                   4                   9   -1.98591549295775   0.994131455399061
1                 900                   4                   9   -1.98594847775176   0.994145199063232
1                 900                   4                   9   -1.98598130841122   0.994158878504673
1                 900                   4                   9   -1.98601398601399   0.994172494172494
1                 900                   4                   9   -1.98604651162791   0.994186046511628
1                 900                   4                   9    -1.9860788863109   0.994199535962877
1                 900                   4                   9   -1.98611111111111   0.994212962962963
1                 900                   4                   9   -1.98614318706697   0.994226327944573
1                 900                   4                   9   -1.98617511520737   0.994239631336406
1                 900                   4                   9   -1.98620689655172   0.994252873563218
1                 900                   4                   9   -1.98623853211009   0.994266055045872
1                 900                   4                   9    -1.9862700228833   0.994279176201373
1                 900                   4                   9   -1.98630136986301   0.994292237442922
1                 900                   4                   9   -1.98633257403189   0.994305239179954
1                 900                   4                   9   -1.98636363636364   0.994318181818182
1                 900                   4                   9   -1.98639455782313   0.994331065759637
1                 900                   4                   9   -1.98642533936652   0.994343891402715
1                 900                   4                   9   -1.98645598194131   0.994356659142212
1                 900                   4                   9   -1.98648648648649   0.994369369369369
1                 900                   4                   9   -1.98651685393258    0.99438202247191
1                 900                   4                   9   -1.98654708520179   0.994394618834081
1                 900                   4                   9   -1.98657718120805   0.994407158836689
1                 900                   4                   9   -1.98660714285714   0.994419642857143
1                 900                   4                   9   -1.98663697104677   0.994432071269488
1                 900                   4                   9   -1.98666666666667   0.994444444444444
1                 900                   4                   9   -1.98669623059867   0.994456762749446
1                 900                   4                   9   -1.98672566371681   0.994469026548673
1                 900                   4                   9   -1.98675496688742    0.99448123620309
1                 900                   4                   9   -1.98678414096916   0.994493392070485
1                 900                   4                   9   -1.98681318681319   0.994505494505495
1                 900                   4                   9   -1.98684210526316   0.994517543859649
1                 900                   4                   9   -1.98687089715536     0.9945295404814
1                 900                   4                   9   -1.98689956331878   0.994541484716157
1                 900                   4                   9   -1.98692810457516   0.994553376906318
1                 900                   4                   9   -1.98695652173913   0.994565217391304
1                 900                   4                   9   -1.98698481561822   0.994577006507592
1                 900                   4                   9   -1.98701298701299   0.994588744588745
1                 900                   4                   9   -1.98704103671706   0.994600431965443
1                 900                   4                   9   -1.98706896551724   0.994612068965517
1                 900                   4                   9   -1.98709677419355   0.994623655913978
1                 900                   4                   9   -1.98712446351931   0.994635193133047
1                 900                   4                   9   -1.98715203426124   0.994646680942184
1                 900                   4                   9   -1.98717948717949    0.99465811965812
1                 900                   4                   9   -1.98720682302772   0.994669509594883
1                 900                   4                   9   -1.98723404255319    0.99468085106383
1                 900                   4                   9   -1.98726114649682   0.994692144373673
1                 900                   4                   9   -1.98728813559322   0.994703389830508
1                 900                   4                   9   -1.98731501057082   0.994714587737844
1                 900                   4                   9    -1.9873417721519   0.994725738396624
1                 900                   4                   9   -1.98736842105263   0.994736842105263
1                 900                   4                   9   -1.98739495798319   0.994747899159664
